text,label
"Really bad.I burned out and I have not recovered yet because I have never done the recovery process (= vacation).Cycling with a really bad thing.The challenge is the industry I have chosen, plus people.In the bad era of the moment, not terribly 1 events when you are challenging to have normal things.",0
"I have been able to vary in two weeks, the emotional states have changed from cheerful to sad, and I have been quite tired because of my work and my life.I resigned from a long relationship a month ago, and it has produced both sleep problems as well as general depression and anxiety.On the other hand, at the same time, on my work front, I have gained new challenges and new winds, and spent a lot of time with my loved ones.This has had a 1 impact on one's own well -being and also supported during a difficult time.",0
"I've been restful and calm.Occasionally, insomnia has occasionally hampered rest.I wake up early in the morning and I'm tired and tired in the morning hours.Nightmares have often been related to my profession.",0
"Quite varied due to the challenges of my personal life.However, the situation has been compensated for the beginning of the ""holiday"", that is, my studies ended and I do part-time work alone.",1
"Four days ago I returned my bachelor's thesis and it was very stressful and exciting.Since then, I've got a little relaxation and enjoyed the summer.A week ago, I was watching at night, taking care of the thesis.",1
I probably have a job for five people and it is difficult to refuse them because I have to grow CV and publish as much articles as possible because I am at the university and have to apply for funding all the time,0
It is difficult to believe that working life would never have anything 1 to offer.,0
"In general, I have been doing well and been happy.Much has happened in two weeks.I've seen a lot of friends and relatives, been at the party and planned for the future.I have done some overtime because I have missed hours from previous weeks.I may not have slept enough, but I know that since next week there will be more time.I graduated with a master's degree and agreed on work patterns.I have been proud of my studies and for daring to be myself.On the other hand, I have not been the most satisfied with my current work, mainly because of its one -sidedness and low salary.But this is not a big problem because the employment relationship is short -term.",1
"I've been over to overtime because I sometimes take a little too much work for myself when many things are interested.That's why I have probably suffered from difficulty falling asleep.My work is physically and sometimes mentally heavy and after work I have been tired.However, there are nice things happening in your spare time - band hobbies and friends keep your mind good.",0
"There is a hurry at work, but I try my best to not get stressed anyway.I am more worried about my somatic health.I am happy about my relationships and friends.",1
"Lots of important events (daughter's yo and entrance examinations, as well as the boy's graduation from elementary school and access to high school) and decisions (selling a summer cottage and buying an apartment) + own artistic work.Excitement, stress, feelings of happiness and gratitude.Concerns about their own well -being and mental well -being and the economy.",1
The work has been distressed.,0
"I have slept and have been rested in varying degrees.This has influenced my coping during the day at work and to get things done.I have worked a lot in the evenings and on weekends in my spare time to get my job done.However, this has been my choice.I want to do the job well and show my necessity.",1
Summer vacation so more free time and a nice program anyway.Life goes well.,1
I can't get rid of work even though I'm already on vacation.They spin in my head and in my dreams.There are also things in the messages that require a reaction.I am tired in a way I have never been before.,0
"""Summer vacation"" has brought a little relaxation to everyday life, so I feel better than during the school year.However, I still have less than a number of credits from the school year, so I try to force the dice in addition to work.Fortunately, I am in a supervision job that really has no job if everything goes well.",1
"Dreams were low due to an event of one week, where I was volunteering.Sleep deprivation immediately affects coping, and everything seems difficult.Communality was a stunning experience, and after a couple of rest days (12-14 hours), it is quite normal again.I heard that I had access to a field that is my passion, and I'm so excited.At the same time, it's excited to go to the school bench after a break of more than 10 years.There is a challenge in a relationship because of another illness, but we go day by day.All in all a good feeling, and feeling really good about the circumstances.I could be quite paralyzed.",0
I have been well.The work is meaningful and I can learn/improve my special expertise.,1
"I've been really anxious, depressed and tired.I find it difficult to focus on work or really anything.My insomnia is pretty much chronic: I never really sleep more than five hours a night and wake up many times in the middle of the night.",0
"I have been well.There are big solutions at work, but the top management has given them enough time and resources to do them.At the same time, I'm tense and excited.",1
"Occasionally, past events are disturbing me, even though they have been 8-10 years old.Poor self -esteem and experiencing loneliness.On the other hand, at home I can relax and enjoy music, online surfing and good food.Summer refreshes mood.",0
"Poor, because in a day it is not enough to do the work well, take care of the home (where the spouse just messes) and hobbies.The state of NATO membership in Finland is also constantly distressing and I am afraid of starting the war.I have been very stressed and tense and I consider the difference between the spouse and resignation every day, and move to a small cabin alone somewhere far from other people and the evil of the world.",0
"In teleworking, it is harder to remain scarp compared to working in the workplace.",0
