text,label
"If I knew this, I probably wouldn't be in the academic industry and would be seeking a plain.Disclosure came to mind, but I haven't found any options yet.And I probably let my coping zero before I can give up.",0
"I believe that at that point when achieving a goal causes cross -border crossing and feeling unwell, and achieving the goal would mean neglecting many things and one's own life.Then you should continue if your goal seems to be clear, and you can trust that it will bring more well -being to yourself.",1
"The mental capacity is affected if a person is, for example, being handed over.",1
"It is worth giving up when the goal or goal no longer seems worth all of it or the benefits of achieving the goal is significantly lower than should be in relation to the workload or the sacrifices made therefore.The decision to give up is influenced by the resources currently in use, the number and importance of other issues currently in progress, as well as the resources required for them and the significance of the objective and the amount of the benefit of it.",1
The significance and end of the matter.Does it have a great importance in the future or can it be possible.,1
My own intuition that surrender is necessary for your own well -being and then feel better,1
No idea.,0
"Repeated failures will certainly drive to give up, on the other hand, there are cases where someone has always tried the same thing, without re -surrendering.What is essential is what the goal is and how important and personal it is.",1
"It's hard to say, maybe when you are physically and mentally so broken that it is a long -term significant harm.It is difficult for me to give up, and if I am seeking, I am very interested, sometimes I cross the boundaries of my own resources sometimes.",0
"I don't know, depends on the person.At least for myself, alternative cost calculations affect myself.",0
Fatigue.Reason.Intuition.,1
At least I don't know.,0
"You don't know.When you just start to be impossible, you may consider surrender.",0
"By considering whether the goal is really important to yourself and if it is really important and you want to not give up to make a written plan and follow it.Disclosure is worthwhile when it is not so important or if you have become more important things you want to invest.Determination, well -being, motivation and time.",1
You can't really know it.Sometimes it is worthwhile to make a bend in order to reach the goal sometimes it is worth changing your goal.It's a good idea to choose your battle.,0
"If the pursuit is so heavy that it is no longer worth reaching the goal, I would give up.",1
"It may be worth giving up when you have been trying for a while and not successful, including any help.When the rest of life suffers considerably and/or for a long time.It is harder to give up a stubborn head.",1
"If the goal is completely unrealistic, you should give up.",1
It is a good idea to give up when you feel your own mental and/or physical resources to be over.It is a good idea to continue your goal if your goal still feels meaningful and realistic to you.The extradition decision is influenced by the time and energy used to achieve the goal and the probability of taking the project.To the finish.,1
They don't know.Disclosure/continuation is more about a personality than at rational reflection.The amount of sinking costs makes it more difficult for everyone to surrender.,0
"It is a good idea to give up if the pursuit of a goal is to endanger safety, economy, mental health or an important relationship.Continuing is motivated by the experience of success and rewards such as money.",1
"The main thing is what you want to see.Every person varies greatly based on, for example, their own values and previous experiences.",1
"It is a good idea to give up if the fatigue/sickness/interpersonal problems arising from the pursuit are greater than what the feeling of success, reward, etc. can be reached.",1
It makes sense to surrender when the resources are over.,1
"When you are no longer mentally or physically, even though it's too late for well -being.",1
"Good question.I gave up my previous work because of the constant stress, sleep difficulties and feeling sick.I decided to quit, even though I basically liked the work and its challenges, but with the man I came to the conclusion that not at the expense of health.However, I do not feel this from surrender, although it may seem like it, but the only sensible option in a situation where the employer does not give any other options.",1
It seems that many decide to give up because they are tired.,1
"If there is no loss or no worse situation, it is not worth giving up",1
"I have been influenced by how much I want that thing.Because if I want something really much, I don't easily give up.I feel that I and many will surely have that hopelessness and when it lasts long enough, it may feel that you can no longer and give up.I also have influenced the goal of pursuing the goal of how likely and logical I have for me that if achieved it is originally unlikely I usually give up quickly",1
When resources are no longer enough to try.,1
"It is not worth pursuing an impossible person, if you realize it is impossible to give it up.On the other hand, if the opportunities are open and very much wants, you should try.",1
Listen to the heart.,0
"If your own abilities and tendencies do not match the subject in any way, and the matter begins to feel distressing and not a posivirting challenge.If you do not receive support in the yall and there is no one in sight with whom you would share it.",1
Subjective utility utility,0
By evaluating your own resources and resources.,1
"My well -being.If the pursuit goes ahead, it would be a good time to give up, or at least take a break.I am aware of, but not always realized.",1
"Yeah, I don't think there is one answer to this.It depends on the person and the matter what the goal is and what should be done at that moment and what the consequences have.The life of the other is rescued by artificial respiration for longer (until the emergency care is present, then it took a moment or long) to find out alone how the child would be sewn into a joke, or when he is handed over and called the mother -in -law to sew it.",0
Then when you no longer handle when you have everything if you have done,1
"People do not always know it, and sometimes it can be difficult to make a decision to give up.On the other hand, it is sometimes difficult to evaluate whether it is profitable to pursue a goal.In many cases, it is profitable if one can develop himself or do good things.If, on the other hand, the pursuit of a goal threatens to eat all the resources and rather causes only evil (eg stress or relationships of relationships) to stop to think about what or whom it is aimed at.",0
As hopeless work has continued longer than the benefit of the work.,1
"As I set the goal, I try to think about whether it is worth the pursuit, my time and my energy.If I later find that there is not enough value, I can give up.",1
"At the latest, you know when to give up when the body reacts with, for example, insomnia.It is worthwhile to continue when you have a good flow and feel empowered.The decision to give up is influenced by well -being and prioritization of things that are important to you.",1
Depends on the subject.If you have already really tried enough and can judge the situation as crossing your own abilities.Usually people give up too easily.,1
In certain/some things but I'm better.I do not easily give up on these things.,1
"Time, Money, Studies, Workplace Opportunities",1
"Disclosure for my decision is strongly influenced by the failed repetitions, my feelings, and the opinion of the loved ones.However, I try to learn more about listening to myself than to believe my loved ones, and to distinguish when my opinion is more right and worth choosing for me.",1
"Some do not seem to understand that it is worth giving up at a certain point, some give too easily.So the answer: I don't know.The idea of ""meeting difficult facts"" has become important to me, followed by changes accordingly.",1
"Continue to the family endlessly.The shame of surrender can prevent trust, but I do not experience one myself.You have to understand your own boundaries.",1
"As long as the goal feels worth pursuing, you have to go, but at the same time you have to be able to be constantly critical of it and assess whether it is still meaningful and worthy of things as you progress, or have the experience brought something that shows that the goal needs to be editedOr change the direction of action.Also, the experience of seeking something more negative in the life of yourself and the environment shows that the goal needs to be examined and assessed whether the disadvantage is still lower than the experience of achieving the goal.At the same time, one must also be able to evaluate whether the pace on which it is moving towards the goal, right, or whether to slow down for a moment, stop or act more effectively.",1
I rarely give up something.Often the decision is due to the fact that one's own mental or physical resources are not enough in that situation.When the situation allows I always strive to reach the goal,1
